PlayerID,FirstName,LastName,DOB,Height,Weight,Position,TeamID,StartDate
1,LeBron,James,1984-12-30,6'9",250,Forward,3,2025-01-06
2,Kevin,Durant,1988-09-29,6'10",240,Forward,3,2025-01-06
3,Stephen,Curry,1988-03-14,6'3",185,Guard,3,2009-06-25
4,Giannis,Antetokounmpo,1994-12-06,6'11",242,Forward,4,2013-10-18
5,Luka,Doncic,1999-02-28,6'7",230,Guard,5,2018-07-06
6,Nikola,Jokic,1995-02-19,6'11",284,Center,6,2014-06-26
7,Joel,Embiid,1994-03-16,7'0",280,Center,7,2014-06-26
8,Kawhi,Leonard,1991-06-29,6'7",225,Forward,8,2019-07-10
9,Jayson,Tatum,1998-03-03,6'8",210,Forward,9,2017-06-22
10,Jimmy,Butler,1989-09-14,6'7",230,Guard,10,2019-07-06
11,Kyrie,Irving,1992-03-23,6'2",195,Guard,2,2023-01-10
12,Zion,Williamson,2000-07-06,6'6",285,Forward,11,2019-07-01
13,Trae,Young,1998-09-19,6'1",180,Guard,12,2018-07-01
14,Bradley,Beal,1993-06-28,6'4",207,Guard,13,2012-06-28
15,Anthony,Davis,1993-03-11,6'10",253,Forward,1,2019-07-06
16,Chris,Paul,1985-05-06,6'0",175,Guard,14,2023-06-01
17,Klay,Thompson,1990-02-08,6'6",215,Guard,3,2011-06-23
18,Devin,Booker,1996-10-30,6'5",206,Guard,14,2015-06-25
19,Paul,George,1990-05-02,6'8",220,Forward,8,2019-07-06
20,Draymond,Green,1990-03-04,6'6",230,Forward,3,2012-06-28
21,Donovan,Mitchell,1996-09-07,6'3",215,Guard,15,2022-09-01
22,Rudy,Gobert,1992-06-26,7'1",258,Center,16,2022-07-01
23,Damian,Lillard,1990-07-15,6'2",195,Guard,17,2023-09-27
24,Jamal,Murray,1997-02-23,6'4",215,Guard,6,2016-06-23
25,Ja,Morant,1999-08-10,6'3",174,Guard,3,2025-01-06
26,De'Aaron,Fox,1997-12-20,6'3",185,Point Guard,12,2017-06-22
27,Pascal,Siakam,1994-04-02,6'8",230,Power Forward,13,2016-06-23
28,Jaylen,Brown,1996-10-24,6'6",223,Shooting Guard,14,2016-06-23
29,Shai,Gilgeous-Alexander,1998-07-12,6'6",180,Point Guard,15,2018-06-21
30,Jaren,Jackson Jr.,1999-09-15,6'10",242,Power Forward,16,2018-06-21
31,Brandon,Ingram,1997-09-02,6'8",190,Small Forward,17,2016-06-23
32,Anthony,Edwards,2001-08-05,6'4",225,Shooting Guard,18,2020-11-18
33,Lonzo,Ball,1997-10-27,6'6",190,Point Guard,19,2017-06-22
34,Kristaps,Porziņģis,1995-08-02,7'3",240,Center,20,2015-06-25
35,Lauri,Markkanen,1997-05-22,7'0",240,Power Forward,21,2017-06-22
36,D'Angelo,Russell,1996-02-23,6'4",193,Point Guard,22,2015-06-25
37,Julius,Randle,1994-11-29,6'8",250,Power Forward,23,2014-06-26
38,Cade,Cunningham,2001-09-25,6'6",220,Point Guard,24,2021-07-29
39,Evan,Mobley,2001-06-18,6'11",215,Center,25,2021-07-29
40,Josh,Giddey,2002-10-10,6'8",210,Point Guard,26,2021-07-29
41,Scottie,Barnes,2001-08-01,6'8",225,Small Forward,27,2021-07-29
42,Jalen,Green,2002-02-09,6'4",186,Shooting Guard,28,2021-07-29
43,Tyrese,Haliburton,2000-02-29,6'5",185,Point Guard,29,2020-11-18
44,RJ,Barrett,2000-06-14,6'6",214,Small Forward,30,2019-06-20
45,Desmond,Bane,1998-06-25,6'6",215,Shooting Guard,31,2020-11-18
48,Franz,Wagner,2001-08-27,6'10",220,Small Forward,32,2021-07-29
49,Devin,Booker,1996-10-30,6'5",206,Shooting Guard,5,2015-06-25
50,Zach,LaVine,1995-03-10,6'5",200,Shooting Guard,6,2014-06-26
51,Bam,Adebayo,1997-07-18,6'9",255,Center,7,2017-06-22
52,Trae,Young,1998-09-19,6'1",164,Point Guard,8,2018-06-21
53,Domantas,Sabonis,1996-05-03,6'10",240,Center,9,2016-06-23
54,Karl-Anthony,Towns,1995-11-15,6'11",248,Center,10,2015-06-25
55,Donovan,Mitchell,1996-09-07,6'1",215,Shooting Guard,11,2017-06-22
56,De'Aaron,Fox,1997-12-20,6'3",185,Point Guard,12,2017-06-22
57,Bam,Adebayo,1997-07-18,6'9",255,Center,13,2017-06-22
58,Michael,Porter Jr.,1998-06-29,6'10",218,Small Forward,14,2018-06-21
59,Tyrese,Haliburton,2000-02-29,6'5",185,Point Guard,15,2020-11-18
60,Shai,Gilgeous-Alexander,1998-07-12,6'6",195,Point Guard,16,2018-06-21
61,Desmond,Bane,1998-06-25,6'5",215,Shooting Guard,17,2020-11-18
62,Jaren,Jackson Jr.,1999-09-15,6'11",242,Power Forward,18,2018-06-21
63,Mikal,Bridges,1996-08-30,6'6",209,Small Forward,19,2018-06-21
64,Jordan,Poole,1999-06-19,6'4",194,Shooting Guard,20,2019-06-20
65,Cade,Cunningham,2001-09-25,6'6",220,Point Guard,21,2021-07-29
66,Evan,Mobley,2001-06-18,7'0",215,Power Forward,22,2021-07-29
67,Scottie,Barnes,2001-08-01,6'8",225,Small Forward,23,2021-07-29
68,Jalen,Green,2002-02-09,6'6",186,Shooting Guard,24,2021-07-29
69,Franz,Wagner,2001-08-27,6'9",220,Small Forward,25,2021-07-29
70,Josh,Giddey,2002-10-10,6'8",216,Point Guard,26,2021-07-29
71,Alperen,Sengun,2002-07-25,6'9",240,Center,27,2021-07-29
72,Jonathan,Kuminga,2002-10-06,6'7",225,Small Forward,28,2021-07-29
73,Moses,Moody,2002-05-31,6'5",205,Shooting Guard,29,2021-07-29
74,Trey,Murphy III,2000-06-18,6'9",206,Small Forward,30,2021-07-29
75,Herb,Jones,1998-10-06,6'8",206,Power Forward,31,2021-07-29
76,Jose,Alvarado,1998-04-12,6'0",179,Point Guard,32,2021-07-29
77,Austin,Reaves,1998-05-29,6'5",206,Shooting Guard,33,2021-07-29
78,Chris,Duarte,1997-06-13,6'6",190,Shooting Guard,34,2021-07-29
79,Onyeka,Okongwu,2000-12-11,6'8",240,Center,35,2020-11-18
80,Deni,Avdija,2001-01-03,6'9",210,Small Forward,36,2020-11-18
81,Saddiq,Bey,1999-04-09,6'7",215,Small Forward,37,2020-11-18
82,Isaiah,Stewart,2001-05-22,6'9",250,Center,38,2020-11-18
83,Aleksej,Pokusevski,2001-12-26,7'0",190,Power Forward,39,2020-11-18
84,Immanuel,Quickley,1999-06-17,6'3",190,Point Guard,40,2020-11-18
85,Patrick,Williams,2001-08-26,6'7",215,Small Forward,41,2020-11-18
86,Tyler,Herro,2000-01-20,6'5",195,Shooting Guard,42,2019-06-20
87,Coby,White,2000-02-16,6'5",195,Point Guard,43,2019-06-20
88,Rui,Hachimura,1998-02-08,6'8",230,Power Forward,44,2019-06-20
89,Jarrett,Culver,1999-02-20,6'6",195,Shooting Guard,45,2019-06-20
90,Cam,Reddish,1999-09-01,6'8",218,Small Forward,46,2019-06-20
